Peak LED,Peak PD,Filter,Filter CW,Notes
450,445,Blue,437,
450,445,Green,435,
470,480,Green,485,
568,515,Green,523,
568,515,Orange,505,
599,630,Orange,623,
415,450,Purple,427,
599,630,Red,645,645 on
599,590,Yellow,560,
599,630,Yellow,640,
