Experimental,LED,Theory,680
"[27741, 11398, 530, 1094, 847, 1744, 1243, 1105]",415.0,"[27978.000117580006, 9341.350370453487, 2572.9100368726736, 663.8884111715938, 74.4891051321377, 8.651113250407535, 3.9388315561989136, 0.2000483800294913]",
"[3622, 41546, 11954, 879, 960, 1627, 1314, 2996]",450.0,"[12332.35935374121, 41481.000486062454, 17454.56453531989, 5048.591558326831, 918.7620731243314, 152.704418407495, 58.46060218154575, 3.910341168358164]",
"[848, 10043, 37181, 7920, 1921, 940, 1801, 2706]",470.0,"[5457.503737770009, 23181.7661437285, 37008.00021431395, 11680.75977510022, 2589.450892624582, 524.5634867016335, 189.92273000387942, 15.454901015944884]",
"[447, 645, 5588, 19745, 28954, 10619, 2149, 1107]",530.0,"[567.0911409710777, 3207.025238870666, 12790.19136595688,  28916.0,38398.47303343641, 9793.45656628741, 3797.484384199556, 822.5065066329955]",
"[1343, 1342, 2457, 12356, 23063, 20497, 14218, 10779]",568.0,"[4250.525490185031, 6804.217690206615, 11020.823045880968, 17317.20311221285, 23064.0, 22472.81220564144, 15173.442634791414, 7711.041715036173]",
"[317, 224, 633, 237, 2191, 18775, 5084, 459]",599.0,"[0.043395299153512354, 4.8541481924923895, 196.9912352753911, 1464.6296418860013, 6620.679736825124, 18787.00006239626, 10481.456246036956, 2691.278216969687]",
"[2359, 1032, 2409, 3320, 2354, 25804, 38808, 3391]",633.0,"[0.001286772716020697, 0.42952649377161406, 57.88955535466858, 783.3436154666382, 5047.718550287994, 18439.58115059667, 41813.000185955454, 18384.21555327061]",
"[2650, 3985, 4961, 2232, 3306, 10623, 41936, 51006]",660.0,"[4.6600895128937425e-05, 0.030033290583743762, 9.619042209728095, 236.81508031283707, 2221.892722135373, 10472.212075618248, 42097.00002081142, 51474.90021372203]",
