Wavelength,FWHM,Hex_Code,Notes
415,7,#7600ed,
450,19,#0046ff,
470,25,#00a9ff,
515,22,#1fff00,
545,39,#92ff00,
590,13,#ffdf00,
630,15,#ff4f00,
680,22,#ff0000,

