Wavelength,FWHM,Hex_Code,Notes
415,26,#7600ed,
445,30,#0028ff,
480,36,#00d5ff,
515,39,#1fff00,
555,39,#b3ff00,
590,40,#ffdf00,
630,50,#ff4f00,
680,52,#ff0000,
