LED: 0,steps: 1,intensity: 254
LED: 1,steps: 1,intensity: 253
LED: 2,steps: 1,intensity: 252
LED: 3,steps: 1,intensity: 249
LED: 4,steps: 1,intensity: 243
LED: 5,steps: 1,intensity: 245
LED: 6,steps: 1,intensity: 246
LED: 7,steps: 1,intensity: 251
LED: 8,steps: 1,intensity: 249
LED: 0,steps: 2,intensity: 253
LED: 1,steps: 2,intensity: 251
LED: 2,steps: 2,intensity: 250
LED: 3,steps: 2,intensity: 243
LED: 4,steps: 2,intensity: 231
LED: 5,steps: 2,intensity: 236
LED: 6,steps: 2,intensity: 237
LED: 7,steps: 2,intensity: 247
LED: 8,steps: 2,intensity: 243
LED: 0,steps: 3,intensity: 252
LED: 1,steps: 3,intensity: 249
LED: 2,steps: 3,intensity: 248
LED: 3,steps: 3,intensity: 238
LED: 4,steps: 3,intensity: 220
LED: 5,steps: 3,intensity: 227
LED: 6,steps: 3,intensity: 229
LED: 7,steps: 3,intensity: 244
LED: 8,steps: 3,intensity: 237
LED: 1,steps: 4,intensity: 248
LED: 2,steps: 4,intensity: 246
LED: 3,steps: 4,intensity: 233
LED: 4,steps: 4,intensity: 209
LED: 5,steps: 4,intensity: 218
LED: 6,steps: 4,intensity: 221
LED: 7,steps: 4,intensity: 241
LED: 8,steps: 4,intensity: 232
LED: 1,steps: 5,intensity: 247
LED: 2,steps: 5,intensity: 245
LED: 3,steps: 5,intensity: 229
LED: 4,steps: 5,intensity: 198
LED: 5,steps: 5,intensity: 210
LED: 6,steps: 5,intensity: 213
LED: 7,steps: 5,intensity: 238
LED: 8,steps: 5,intensity: 227
LED: 1,steps: 6,intensity: 246
LED: 2,steps: 6,intensity: 244
LED: 3,steps: 6,intensity: 225
LED: 4,steps: 6,intensity: 187
LED: 5,steps: 6,intensity: 202
LED: 6,steps: 6,intensity: 206
LED: 7,steps: 6,intensity: 235
LED: 8,steps: 6,intensity: 222
LED: 2,steps: 7,intensity: 243
LED: 3,steps: 7,intensity: 221
LED: 4,steps: 7,intensity: 177
LED: 5,steps: 7,intensity: 194
LED: 6,steps: 7,intensity: 199
LED: 7,steps: 7,intensity: 233
LED: 8,steps: 7,intensity: 217
LED: 3,steps: 8,intensity: 218
LED: 4,steps: 8,intensity: 167
LED: 5,steps: 8,intensity: 187
LED: 6,steps: 8,intensity: 192
LED: 7,steps: 8,intensity: 231
LED: 8,steps: 8,intensity: 212
LED: 3,steps: 9,intensity: 215
LED: 4,steps: 9,intensity: 157
LED: 5,steps: 9,intensity: 180
LED: 6,steps: 9,intensity: 185
LED: 7,steps: 9,intensity: 229
LED: 8,steps: 9,intensity: 207
LED: 3,steps: 10,intensity: 213
LED: 4,steps: 10,intensity: 147
LED: 5,steps: 10,intensity: 173
LED: 6,steps: 10,intensity: 178
LED: 7,steps: 10,intensity: 227
LED: 8,steps: 10,intensity: 202
LED: 3,steps: 11,intensity: 211
LED: 4,steps: 11,intensity: 137
LED: 5,steps: 11,intensity: 167
LED: 6,steps: 11,intensity: 172
LED: 7,steps: 11,intensity: 225
LED: 8,steps: 11,intensity: 197
LED: 0,steps: 4,intensity: 253
LED: 3,steps: 12,intensity: 209
LED: 4,steps: 12,intensity: 127
LED: 5,steps: 12,intensity: 161
LED: 6,steps: 12,intensity: 166
LED: 7,steps: 12,intensity: 223
LED: 8,steps: 12,intensity: 192
LED: 0,steps: 5,intensity: 254
LED: 3,steps: 13,intensity: 208
LED: 4,steps: 13,intensity: 118
LED: 5,steps: 13,intensity: 155
LED: 6,steps: 13,intensity: 160
LED: 7,steps: 13,intensity: 222
LED: 8,steps: 13,intensity: 187
LED: 0,steps: 6,intensity: 255
LED: 3,steps: 14,intensity: 207
LED: 4,steps: 14,intensity: 109
LED: 5,steps: 14,intensity: 149
LED: 6,steps: 14,intensity: 154
LED: 7,steps: 14,intensity: 221
LED: 8,steps: 14,intensity: 182
LED: 2,steps: 8,intensity: 244
LED: 3,steps: 15,intensity: 206
LED: 4,steps: 15,intensity: 100
LED: 5,steps: 15,intensity: 144
LED: 6,steps: 15,intensity: 149
LED: 7,steps: 15,intensity: 220
LED: 8,steps: 15,intensity: 177
LED: 2,steps: 9,intensity: 245
LED: 4,steps: 16,intensity: 91
LED: 5,steps: 16,intensity: 139
LED: 6,steps: 16,intensity: 144
LED: 7,steps: 16,intensity: 219
LED: 8,steps: 16,intensity: 172
LED: 1,steps: 7,intensity: 247
LED: 2,steps: 10,intensity: 246
LED: 4,steps: 17,intensity: 82
LED: 5,steps: 17,intensity: 134
LED: 6,steps: 17,intensity: 139
LED: 7,steps: 17,intensity: 218
LED: 8,steps: 17,intensity: 167
LED: 1,steps: 8,intensity: 248
LED: 2,steps: 11,intensity: 247
LED: 4,steps: 18,intensity: 73
LED: 5,steps: 18,intensity: 129
LED: 6,steps: 18,intensity: 134
LED: 7,steps: 18,intensity: 217
LED: 8,steps: 18,intensity: 162
LED: 1,steps: 9,intensity: 249
LED: 2,steps: 12,intensity: 249
LED: 4,steps: 19,intensity: 64
LED: 5,steps: 19,intensity: 124
LED: 6,steps: 19,intensity: 129
LED: 7,steps: 19,intensity: 216
LED: 8,steps: 19,intensity: 157
LED: 1,steps: 10,intensity: 250
LED: 2,steps: 13,intensity: 251
LED: 4,steps: 20,intensity: 55
LED: 5,steps: 20,intensity: 120
LED: 6,steps: 20,intensity: 124
LED: 7,steps: 20,intensity: 215
LED: 8,steps: 20,intensity: 152
LED: 1,steps: 11,intensity: 251
LED: 2,steps: 14,intensity: 253
LED: 4,steps: 21,intensity: 47
